ma_quy_tac,ten_quy_tac,ten_don_vi,loai_don_vi,pham_vi,ket_qua,can_cu,muc_uu_tien,ngay_hieu_luc,ngay_het_hieu_luc,dang_ap_dung,la_mock,ghi_chu
MOCK_DV00011,Quy tắc demo cho Phòng Pháp chế - Cục Tham mưu (CA),Phòng Pháp chế - Cục Tham mưu (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00012,Quy tắc demo cho Phòng Thanh tra - Cục Tham mưu (CA),Phòng Thanh tra - Cục Tham mưu (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00013,Quy tắc demo cho Phòng Tác chiến - Cục Tham mưu (CA),Phòng Tác chiến - Cục Tham mưu (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00014,Quy tắc demo cho Cục Tổ chức cán bộ (CA),Cục Tổ chức cán bộ (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00015,Quy tắc demo cho Phòng Công nghệ - Cục Tổ chức cán bộ (CA),Phòng Công nghệ - Cục Tổ chức cán bộ (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00016,Quy tắc demo cho Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00017,Quy tắc demo cho Phòng Thanh tra - Cục Tổ chức cán bộ (CA),Phòng Thanh tra - Cục Tổ chức cán bộ (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00018,Quy tắc demo cho Cục Kế hoạch - Tài chính (CA),Cục Kế hoạch - Tài chính (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00019,Quy tắc demo cho Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00020,Quy tắc demo cho Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00021,Quy tắc demo cho Phòng Hành chính - Cục Kế hoạch - Tài chính (CA),Phòng Hành chính - Cục Kế hoạch - Tài chính (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00022,Quy tắc demo cho Phòng Thanh tra - Cục Kế hoạch - Tài chính (CA),Phòng Thanh tra - Cục Kế hoạch - Tài chính (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00023,Quy tắc demo cho Cục Quân huấn (CA),Cục Quân huấn (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00024,Quy tắc demo cho Phòng Thanh tra - Cục Quân huấn (CA),Phòng Thanh tra - Cục Quân huấn (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00025,Quy tắc demo cho Phòng Đào tạo - Cục Quân huấn (CA),Phòng Đào tạo - Cục Quân huấn (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00026,Quy tắc demo cho Phòng Tác chiến - Cục Quân huấn (CA),Phòng Tác chiến - Cục Quân huấn (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00027,Quy tắc demo cho Phòng Nhân sự - Cục Quân huấn (CA),Phòng Nhân sự - Cục Quân huấn (CA),CA,DON_VI,YES,[MOCK] Quy tắc demo theo nhóm CA,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00028,Quy tắc demo cho Bộ Quốc phòng,Bộ Quốc phòng,BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00029,Quy tắc demo cho Cục Kỹ thuật (BQP),Cục Kỹ thuật (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00030,Quy tắc demo cho Phòng Đào tạo - Cục Kỹ thuật (BQP),Phòng Đào tạo - Cục Kỹ thuật (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00031,Quy tắc demo cho Phòng Truyền thông - Cục Kỹ thuật (BQP),Phòng Truyền thông - Cục Kỹ thuật (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00032,Quy tắc demo cho Phòng Tác chiến - Cục Kỹ thuật (BQP),Phòng Tác chiến - Cục Kỹ thuật (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00033,Quy tắc demo cho Cục Tác chiến (BQP),Cục Tác chiến (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00034,Quy tắc demo cho Phòng Pháp chế - Cục Tác chiến (BQP),Phòng Pháp chế - Cục Tác chiến (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00035,Quy tắc demo cho Phòng Công nghệ - Cục Tác chiến (BQP),Phòng Công nghệ - Cục Tác chiến (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00036,Quy tắc demo cho Phòng Nhân sự - Cục Tác chiến (BQP),Phòng Nhân sự - Cục Tác chiến (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00037,Quy tắc demo cho Cục Chính trị (BQP),Cục Chính trị (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00038,Quy tắc demo cho Phòng Nhân sự - Cục Chính trị (BQP),Phòng Nhân sự - Cục Chính trị (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00039,Quy tắc demo cho Phòng Công nghệ - Cục Chính trị (BQP),Phòng Công nghệ - Cục Chính trị (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00040,Quy tắc demo cho Phòng Tác chiến - Cục Chính trị (BQP),Phòng Tác chiến - Cục Chính trị (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00041,Quy tắc demo cho Phòng Thanh tra - Cục Chính trị (BQP),Phòng Thanh tra - Cục Chính trị (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00042,Quy tắc demo cho Phòng Đào tạo - Cục Chính trị (BQP),Phòng Đào tạo - Cục Chính trị (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00043,Quy tắc demo cho Phòng Pháp chế - Cục Chính trị (BQP),Phòng Pháp chế - Cục Chính trị (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00044,Quy tắc demo cho Cục Tham mưu (BQP),Cục Tham mưu (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00045,Quy tắc demo cho Phòng Truyền thông - Cục Tham mưu (BQP),Phòng Truyền thông - Cục Tham mưu (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00046,Quy tắc demo cho Phòng Kỹ thuật - Cục Tham mưu (BQP),Phòng Kỹ thuật - Cục Tham mưu (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00047,Quy tắc demo cho Phòng Nhân sự - Cục Tham mưu (BQP),Phòng Nhân sự - Cục Tham mưu (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00048,Quy tắc demo cho Phòng Hành chính - Cục Tham mưu (BQP),Phòng Hành chính - Cục Tham mưu (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00049,Quy tắc demo cho Phòng Đào tạo - Cục Tham mưu (BQP),Phòng Đào tạo - Cục Tham mưu (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00050,Quy tắc demo cho Cục Kế hoạch - Tài chính (BQP),Cục Kế hoạch - Tài chính (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00051,Quy tắc demo cho Phòng Tác chiến - Cục Kế hoạch - Tài chính (BQP),Phòng Tác chiến - Cục Kế hoạch - Tài chính (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00052,Quy tắc demo cho Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00053,Quy tắc demo cho Phòng Kỹ thuật - Cục Kế hoạch - Tài chính (BQP),Phòng Kỹ thuật - Cục Kế hoạch - Tài chính (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
MOCK_DV00054,Quy tắc demo cho Phòng Thanh tra - Cục Kế hoạch - Tài chính (BQP),Phòng Thanh tra - Cục Kế hoạch - Tài chính (BQP),BQP,DON_VI,NO,[MOCK] Quy tắc demo theo nhóm BQP,50,2026-09-01,,1,1,"Dữ liệu giả lập phục vụ GĐ1, không phải quy định pháp lý thực tế."
